,Movie_Titles,Director,Genre,IMDB_Ratings,Votes,Certificate,Gross,Years
0,The Shawshank Redemption,Frank Darabont,Drama            ,9.3,2614970,A,28.34,1994
1,The Godfather,Francis Ford Coppola,Crime,9.2,1810374,A,134.97,1972
2,The Dark Knight,Christopher Nolan,Action,9.0,2587139,UA,534.86,2008
3,The Lord of the Rings: The Return of the King,Peter Jackson,Action,9.0,1794699,U,377.85,2003
4,Schindler's List,Steven Spielberg,Biography,9.0,1328819,A,96.9,1993
5,The Godfather Part II,Francis Ford Coppola,Crime,9.0,1244530,A,57.3,1974
6,12 Angry Men,Sidney Lumet,Crime,9.0,772694,U,4.36,1957
7,Jai Bhim,T.J. Gnanavel,Crime,8.9,193180,A,79.78543749999999,2021
8,Pulp Fiction,Quentin Tarantino,Crime,8.9,2003274,A,107.93,1994
9,Inception,Christopher Nolan,Action,8.8,2294730,UA,292.58,2010
10,The Lord of the Rings: The Two Towers,Peter Jackson,Action,8.8,1620707,UA,342.55,2002
11,Fight Club,David Fincher,Drama            ,8.8,2061027,A,37.03,1999
12,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Action,8.8,1815906,U,315.54,2001
13,Forrest Gump,Robert Zemeckis,Drama,8.8,2021825,UA,330.25,1994
14,"Il buono, il brutto, il cattivo",Sergio Leone,Adventure,8.8,748846,A,6.1,1966
15,Soorarai Pottru,Sudha Kongara,Drama            ,8.7,111943,U,79.78543749999999,2020
16,The Matrix,"Lana Wachowski, ",Action,8.7,1875232,A,171.48,1999
17,Goodfellas,Martin Scorsese,Biography,8.7,1132061,A,46.84,1990
18,The Empire Strikes Back,Irvin Kershner,Action,8.7,1265914,UA,290.48,1980
19,One Flew Over the Cuckoo's Nest,Milos Forman,Drama            ,8.7,991083,A,112.0,1975
20,Top Gun: Maverick,Joseph Kosinski,Action,8.6,246106,UA,79.78543749999999,2022
21,Interstellar,Christopher Nolan,Adventure,8.6,1757695,UA,188.02,2014
22,Cidade de Deus,"Fernando Meirelles, ",Crime,8.6,746289,A,7.56,2002
23,Sen to Chihiro no kamikakushi,Hayao Miyazaki,Animation,8.6,742160,U,10.06,2001
